,Id,Users,Comments
0,u_11_2,Henje Noble Cuadra,Sir suggest b sir...ang sunday disinfect nga schedule...😊😊😊
1,u_11_2,Noel Anthony L. Fernandez,As admin Noel Anthony L. Fernandez 6am to 12 non  tym?
2,u_11_2,Noel Anthony L. Fernandez,Tartfourtheen Odchigue huo an sane time
3,u_11_2,Noel Anthony L. Fernandez,Noel Anthony L. Fernandez  thank u min
4,u_11_2,Ralph Dia Ritoch,"Nong i clarify ko lang. When you say Market day, are you referring to the Sunday and Thursday market days that we normally have before the pandemic or are you saying amo lang gid ning mga allowed days nga maka pa Puregold kami or pa Prince etc."
5,u_11_2,Ralph Dia Ritoch,"Ralph Dia Ritoch oh u'r right! dala na private establishments, D"
6,u_11_2,Noel Anthony L. Fernandez,Noel Anthony L. Fernandez thank you nong!
7,u_11_2,Noel Anthony L. Fernandez,Ralph Dia Ritoch welcome sir
8,u_11_2,Ralph Dia Ritoch,Angel Lane Macadenden ang bal-an ko miss indi gid puwede kagwa ang under sa hotzone until matapos ang extreme community quarantine.
9,u_11_2,Lenz Dojino,"good eve, admin weekly pa disinfect man ang tanan grocery store"
10,u_11_2,Lorena Libo-on,"Sir , i saw some of schedule in market day nga 6am to 4pm , anu gid ang exactly 6 to 12 or 6am to 4pm ... Kita ko sa my post sng ibn"
11,u_11_2,Noel Anthony L. Fernandez,Lorena Libo-on EO 015 maam ang time is from 6am to 12nn
12,u_11_2,Azuita Amber Abbey Mones,"Azuita Amber Abbey Mones tnx gid.,"
13,u_11_2,Rosie Apinado,Pls read no. 3 & 4.
14,u_11_2,Jeffrey Maipid,"Good job tol, Thanks its really help us!"
