,Id,Users,Comments
0,u_ps_fetchstream_3_3_g,Lud Monta,Our Lady of the Miraculous Medal protect us & pray for us...Amen.
1,u_ps_fetchstream_3_3_g,Perla Umali,Our Lady of Meraculous Medal protec us from this pandemic ncov 19....Pls.interced our prayer to your Son... In Jesus Name...
2,u_ps_fetchstream_3_3_g,RomyLinda Brul,Our Lady of Miraculous Medal protect us from the coronavirus!
3,u_ps_fetchstream_3_3_g,Gebreyohenns Hana,Our Lady of the Miraculous  Mrdal protect us and pray for all of the world.Amen
4,u_ps_fetchstream_3_3_g,Isay Formarejo Amparo,O MARY CONCIEVE WITHOUT SIN PRAY FOR US WHO HAVE RECOURSE TO THEE. AMEN
5,u_ps_fetchstream_3_3_g,Lucila Caldino,"Blessed Mother , pray for us always"
6,u_ps_fetchstream_3_3_g,Yolanda Osborne,Pray for us amen
7,u_ps_fetchstream_3_3_g,Aileen Apan,Pray for us all
8,u_ps_fetchstream_3_3_g,Mary Snyder,Praying for everyone
9,u_ps_fetchstream_3_3_g,Meddie Abutin Gelacio,I am wearing it always... thank you Mama Mary...
10,u_ps_fetchstream_3_3_g,Bernie Brown,Our Lady of the Miraculous medal pray for us Amen 🙏
